number,name,description,image
5511,Delmar Collection ,The burnished finish and classic profile of the Delmar Collection will be a perfect fit for your modest casual dining space. Splat back wood chairs with brown bi-cast vinyl seats flank the counter and dining height table offerings. Routed detailing provides a linear focal point on the tables tops.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5511.jpg
1733-1,Verano Collection ,"Appropriate for a number of bedroom designs, the Verano Collection is the perfect permanent canvas for your ever-evolving personal style. The rich espresso finish is delicately accented with discrete brushed nickel knob hardware and stylish framing that carries from the bed to the mirror in this modern transitional set. The pull-out tray on the nightstand provides additional space for your bedside needs.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1733-1.jpg
5409-78,Kavanaugh Collection ,"Subtle contemporary design is called into play for the styling of the Kavanaugh Collection. Lending a distinct look to the tabletop is a classic checkerboard veneer pattern which is highlighted by a dark brown, with gray undertone finish. Providing contrast to the table is the brownish gray fabric coverings of the shallow cove back seats.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5409-78.jpg
8230BLK-3,Bastrop Collection ,"Comfort is the name of the game in the Bastrop Collection. The collection is offered in several configurations – traditional sofa, love seat and chair, and sectional – for versatile placement in your living room maximum relaxation potential in your downtime. The two optional coverings – black or brown leather gel match – feature contrast welting for definition of profile and modern accenting. Manually engaged motion mechanisms allow for quick transition from seated to prone with the quick pull of a tab. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion. The sectional configuration features a left side love seat with reclining end and the right side double reclining love seat with center console unit featuring cup holders and storage.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8230BLK.jpg
8203GY-3,Iniko Collection ,"Contemporary styling is exemplified in the design of the Iniko Collection. Offered in gray or red leather gel match coverings, the cleanly designed seating group will fit perfectly in your modern home. Chrome legs support and provide decorative accent that is in line with the sleek look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8203GY.jpg
2145-1,Edina Collection ,"Enhancing the contemporary design of your bedroom is the focus of the Edina Collection. The espresso-hinted cherry finish builds on the unexaggerated lines of this bedroom suite, blended with the tufted bi-cast vinyl inserts on the headboard and the polished nickel finishedÂ hardware, culminates to achieve the modern look. Whether it is a hard contemporary or a softer transitional feel, your décor design options are wide open with this classic bedroom collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2145-1.jpg
5556-30,Cavendish Collection ,Generous curves and a warm cherry finish enhance the traditional look of the Cavendish Collection. Carved egg and dart molding accent the apron and glass insert provides a view onto the display shelves.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5556-30.jpg
8318-AC,Laertes Collection ,Providing ample seating for your friends and family is the Laertes Collection. The classic sectional shape is book-ended by stationary chaise options or USB port enhanced end power recliners. Taupe gray top grain leather provides a gentle touch while darker tone fabric lends stark contrast. The power reclining mechanism bring you to your desired position with a touch of the button. The collection is available in several different configurations to choose from to complete your seating arrangement.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8318.jpg
8413GY-3,Adair Collection ,"The Adair Collection offers a classic look to your stylish home. Classic lines form the profile of this versatile look. Offered in 4 trend-driven colors - teal, grey, yellow and beige - your choice of fabric will allow for your decorative personality to shine.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8413GY_all_mixing color (2015).jpg
1955-1,Lonan Collection ,"With a hint of weathering so popular in industrial styling, the Lonan Collection will fit into the rustic contemporary aesthetic that you look to achieve in your bedroom. Melamine laminate mimics the look of sun-bleached wood with a darker under-hue providing subtle contrast to the design of the group, with dark finished metal handles providing additional contrast. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1955-1.jpg
4962DB-NT,Ruby Collection ,"The multi-functionality of a daybed provides a level of flexibility that makes it a welcome addition to almost any home. The Ruby Collection is finished in burnished bronze and is a sturdy in traditional styling. When used as a bed, with the addition of the trundle, your sleep space capability doubles.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4962DB-NT.jpg
9909BR,Comfort Living Collection ,"The Comfort Living Collection, with our patent pending assembly method, allows you to customize the placement of the back supports to fit your living space needs. Working as either a right OR left facing grouping, the reversible 3-seater and chaise may be placed on either side, optimizing your special needs. Contrasting two-tone rhino microfiber and dark brown bi-cast vinyl lends a contemporary yet relaxed style. Available in chocolate rhino microfiber and brown rhino microfiber. 2 free pillows included.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9909BR.jpg
9724BRW,Marille Collection ,"With either the extended stretch of the reclining sofa or soothing rock of the reclining chair, your comfort is taken care of in the Marille Collection. Drop-down cup holders add additional function to the collection. The collection is offered in brown bonded leather match, black bonded leather match, dark brown 100% polyester or taupe 100% polyester.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9724BRW Shot1.jpg
